number,total_calls,avg_duration,night_calls,unique_contacts,imei_changes,scam_keyword_flag,short_call_ratio,fraud_prob,fraud_label
9634895718,96,6.928998637458923,53,66,1,1,0.8527940533036624,0.45503730274693244,1
9299900595,158,5.643627527793527,37,135,2,1,1.4601146105683969,0.5333735562680187,1
9962061404,258,0.6754260964857417,27,75,0,0,1.0718106425371636,0.21256216394663072,0
9887846414,292,1.088762841900434,78,195,3,1,0.2074280949178028,0.5796928839539978,1
9227521863,207,8.936763631458648,18,125,0,1,0.22842115044383343,0.23336937447575623,0
9523734972,53,8.75427255762417,68,24,0,1,1.4490015001687475,0.503962242662093,1
9515968276,37,3.894073758962429,63,75,1,1,1.4205912758579153,0.5618587346620674,1
9770094950,26,8.964980860840079,3,158,2,0,0.8809701519540856,0.020819981237742646,0
9941095289,136,6.139913206780067,9,173,3,0,0.399797069741356,0.07631335655426856,0
9769991378,177,8.156103646679568,11,135,5,0,0.9169080607253437,0.2366057235268864,0
9529389014,253,4.560595176022035,68,175,2,0,1.1689613957116398,0.306514892039799,0
9349467210,85,1.577284109776633,6,149,2,0,0.11159525445766523,0.0441306878842669,0
9998717130,240,4.620407095137154,43,88,3,0,1.2519376269753988,0.343537630095402,0
9598972759,213,4.84434808097053,22,102,3,1,0.7507161168221197,0.4992537570470081,1
9459525748,257,5.733969841485728,1,185,1,0,0.7484295554700652,0.04328724189191242,0
9534285667,223,1.503035772592066,36,184,4,1,0.7080294681304053,0.5713937735712106,1
9713608295,224,9.91831769897131,68,165,1,1,1.068584532370197,0.46344366483010124,1
9993664919,167,2.8192997976656105,19,64,5,1,0.39324609632494534,0.5686412673203395,1
9748061058,78,2.3862478336023827,43,72,3,0,0.9493246103840972,0.2988339792428631,0
9188409749,94,5.504627729131397,69,188,0,0,0.16173548999342605,0.039669392716301016,0
9342285876,276,5.603477704251442,73,109,0,1,1.2358891393682812,0.5444149642731765,1
9454088427,78,4.678297009415821,50,196,2,0,1.241620926303453,0.2161549470434245,0
9909827741,108,7.832975390089918,79,140,2,0,0.5366319349764805,0.19495012751609858,0
9103344769,225,5.408216806921725,30,165,4,1,0.24758719642203142,0.46581186188758317,1
9880932287,170,6.292106823877349,40,157,4,1,1.146848537330224,0.5749498759264321,1
9887716372,103,7.375590661373963,57,115,4,0,0.7583001764147175,0.27670559989994525,0
9604579232,183,0.7377384648567329,4,139,4,0,1.3949537642622625,0.32284159013319075,0
9332968651,174,5.921119734177926,32,63,0,0,0.5948784984922315,0.08723198300893267,0
9579546681,124,8.899847476669509,42,37,3,0,1.2781126431273133,0.2876420141219102,0
9206328085,229,0.6651930577916221,18,45,5,1,0.1354520432520137,0.5873385951634089,1
9130349564,40,4.349229986109131,31,165,5,0,1.181911338731383,0.30755526748112305,0
9881447915,20,9.299160776955384,2,33,4,1,1.0495498270388626,0.46368938325453213,1
9199052376,139,3.8549668216841093,0,171,1,1,0.8367747588950805,0.32972003587386695,0
9277077808,114,4.857923829902288,40,189,5,1,1.3745962371182177,0.6325564624953587,1
9206406362,36,9.824643233920971,47,109,4,1,1.4188156640952017,0.5692121608843727,1
9580404538,236,2.393576660030451,38,105,0,0,1.401559227800705,0.2353975207490525,0
9743647998,11,1.1199242966875564,4,68,2,1,0.9369241015275678,0.4449251339563908,1
9699121577,110,8.66451461318239,76,90,1,0,0.8271550316718793,0.19461776177577017,0
9300427519,30,8.750420741517502,10,70,4,0,0.47656086093555217,0.12368225441405625,0
9281009883,67,4.9847394294601255,21,118,0,1,0.3268984937931604,0.26552761276832443,0
9599770319,189,5.384968157534219,63,126,2,1,0.879932315295832,0.5381222599450892,1
9985063869,29,8.440160511369442,11,13,4,0,0.30789541289904204,0.1376488567447851,0
9489151677,264,7.5163152321000535,52,33,0,1,0.3409619289906165,0.4016196486936734,1
9251079598,47,3.018915521061601,54,101,0,1,0.5994401959356331,0.3992391705928701,1
9608464061,157,0.6604868731794253,52,78,3,0,0.3614458587164183,0.2873143272344838,0
9957592370,34,5.0571515440686845,20,128,0,1,0.8024193979333824,0.3056711758898483,0
9668919915,130,8.659667097908594,18,160,4,1,1.0292492799069521,0.4707605750805977,1
9161136438,35,9.01042942855654,68,114,0,1,1.0770608069894576,0.40645547702938983,1
9496917567,178,9.584148872223462,71,57,1,0,0.8458892142371351,0.20921358590844133,0
9299502978,234,8.855850757321422,65,178,0,1,0.8305186585422557,0.3930420299372136,1
9572190436,10,6.010413775331934,58,171,0,0,0.7647355802492662,0.0673099709925954,0
9561901618,270,4.723753192742958,48,80,5,0,0.44337129973723033,0.3565195176555521,1
9874414982,22,7.861073542073941,58,62,1,1,1.0159399643295588,0.4569465798813265,1
9832395540,57,7.528305526473166,22,186,4,0,1.019840864778516,0.17974123745574394,0
9961137736,103,5.612362585773816,2,138,2,1,0.4581270126567054,0.31859355715618554,0
9379394470,270,1.3296100393054566,55,49,3,1,1.0807966318074478,0.6969902753452283,2
9156972561,287,9.297772794475728,57,172,5,0,1.3012074637304778,0.383354955447282,1
9954206851,214,4.8282241062657905,61,155,2,0,0.9325931594899917,0.2587891565302762,0
9925500248,194,3.951670928204511,17,121,4,1,0.2645554698884041,0.4698099385814877,1
9371820813,184,6.480890254103331,60,126,4,0,0.5581649922725974,0.2862757826901384,0
9350814705,78,6.90146063108628,36,174,5,0,0.2299031190195285,0.179570846709308,0
9681609465,113,2.5015352117878638,53,170,1,0,0.5228435329749831,0.1411061347488769,0
9334564360,255,8.450919025694583,77,148,2,1,0.3967219420371818,0.4814456047361268,1
9168574553,170,3.2544023897925896,64,78,0,1,0.8764804133442438,0.4964581542571316,1
9519498548,209,2.273497296186009,13,179,1,1,0.6929622848031132,0.37535683995547486,1
9891274835,225,4.360798602117725,4,153,1,1,1.1117577157387268,0.3975813426632345,1
9916698734,221,7.44032076852592,61,78,3,1,0.6082592480458814,0.5528905938765281,1
9887110843,25,9.671852695178133,0,153,1,0,0.31660891037594396,0.0,0
9624150214,214,8.188172011528614,62,29,2,0,0.43043488195926893,0.22346078836343553,0
9572432043,48,9.433309587866821,66,128,4,1,0.8640964649031708,0.5437918607339787,1
9457319431,98,1.8357551387270044,19,65,5,1,0.7297967695947107,0.6019298840199746,1
9247697582,265,1.1761795892049294,42,102,3,0,0.15965205145008976,0.2512107577702183,0
9844595490,263,5.798195238113376,41,58,5,1,0.39392370052195425,0.6110758345386073,1
9784275917,225,3.2578260889183266,68,64,5,1,0.5154310810708753,0.7037578166614852,2
9705850704,181,8.366522243208092,73,174,0,0,1.1155033607839495,0.1589788030422435,0
9137709731,146,6.8838847783220976,38,193,2,1,1.1225977335439554,0.4480384440187428,1
9882698033,187,9.721917557865048,61,36,0,1,1.0771826584730007,0.46171557498904614,1
9798027879,86,2.92052737944739,47,57,1,1,1.2458460511056044,0.5386385309126372,1
9123027075,197,5.114949086374708,5,176,2,1,1.3234316092932328,0.44121573741202474,1
9365047041,24,5.261784535540856,73,143,5,0,0.19955152421155115,0.2799547684788959,0
9852288765,223,2.772179551145074,41,122,3,1,0.7902802247711347,0.564284139025462,1
9186191493,217,6.105887295136074,57,51,5,1,0.30854299830774845,0.6243711789219635,1
9993102645,178,4.711216867752776,42,94,3,0,0.5956841829066252,0.2419141662024284,0
9300619113,289,4.743854781903799,9,64,0,0,1.028475872957099,0.13180751403867297,0
9390770691,155,3.9459981557385944,77,40,4,1,0.9423222115890096,0.7163100208551514,2
9893943861,272,0.660828848042583,38,192,5,1,0.27998346376383765,0.5877014028084829,1
9234489564,13,5.459904750690495,12,165,3,0,1.1599142200350727,0.15363751606258946,0
9496360081,99,3.6848544391531455,74,46,0,0,1.2018234569352666,0.26990056156239417,0
9207944665,69,0.5125387553511319,38,17,4,0,0.2948574296828612,0.30063242649772975,0
